Chapter_Number,Chapter_Name,Section_Number,Section_Name,Section_Note,Subsection_Number,Subsection_Name,Subsection_Note
Chapter 3,Building Blocks,302,Floor Surfaces,,302.1,General,"Floor surfaces shall be stable, firm, and slip resistant, and shall comply withSection 302. Changes in level in floor surfaces shall comply with Section 303."
Chapter 3,Building Blocks,302,Floor Surfaces,,302.2,Carpet,"Carpet or carpet tile shall be securely attached and shall have a firm cushion, pad, or backing or no cushion or pad. Carpet or carpet tile shall have a level loop, textured loop, level cut pile, or level cut/uncut pile texture. The pile shall be 1/2 inch (13 mm) maximum in height. Exposed edges of carpet shall be fastened to the floor and shall have trim along the entire length of the exposed edge. Carpet edge trim shall comply with Section 303."
Chapter 3,Building Blocks,302,Floor Surfaces,,302.3,Openings,"Openings in floor surfaces shall be of a size that does not permit the passage of a 1/2 inch (13 mm) diameter sphere, except as allowed in Sections 407.4.3, 408.4.3, 409.4.3, 410.4, and 805.10. Elongated openings shall be placed so that the long dimension is perpendicular to the predominant direction of travel."
Chapter 3,Building Blocks,303,Changes in Level,,303.1,General,Changes in level in floor surfaces shall comply withSection 303.
Chapter 3,Building Blocks,303,Changes in Level,,303.2,Vertical,Changes in level of 1/4 inch (6.4 mm) maximum in height shall be permitted to be vertical
Chapter 3,Building Blocks,303,Changes in Level,,303.3,Beveled,Changes in level greater than 1/4 inch (6.4 mm) in height and not more than / inch (13 mm) maximum in height shall be beveled with a slope not steeper than 1:2.
Chapter 3,Building Blocks,303,Changes in Level,,303.4,Ramps,Changes in level greater than 1/2 inch (13 mm) in height shall be by a ramp complying withSection 405 or by a curb ramp complying with Section 406.
Chapter 3,Building Blocks,304,Turning space,,304.1,General,A turning space shall comply with Section 304.
Chapter 3,Building Blocks,304,Turning space,,304.2,Floor Surface,Floor surfaces of a turning space shall comply withSection 302. Changes in level shall not be permitted within the turning space. Exception: Slopes not steeper than 1:48 shall be permitted.
Chapter 3,Building Blocks,304,Turning space,,304.3,Size,Turning spaces shall comply with Section 304.3.1 or 304.3.2
Chapter 3,Building Blocks,304,Turning space,,304.3.1,Circular Space,
Chapter 3,Building Blocks,304,Turning space,,304.3.1.1,New Buildings and Facilities,"In new buildings and facilities, the turning space shall be a circular space with a 67-inch (1700 mm) minimum diameter."
Chapter 3,Building Blocks,304,Turning space,,304.3.1.1.1,Overlap,"Turning spaces shall be permitted to include knee and toe clearance complying with Section 306. Where the turning space includes knee and toe clearances under an obstruction, the overlap shall comply with all of the following:
1. The depth of the overlap shall not be more than 10 inches (255 mm), and
2. The depth shall not exceed the depth of the knee and toe clearances provided, and
3. The overlap shall be permitted only within the turning circle area shown shaded in Figure 304.3.1"
Chapter 3,Building Blocks,304,Turning space,,304.3.1.2,Existing buildings and facilities,"In existing buildings and facilities, the turning space shall be a circular space with a 60-inch (1525 mm) minimum diameter."
Chapter 3,Building Blocks,304,Turning space,,304.3.1.2.1,Overlap,Turning spaces shall be permitted to include knee and toe clearance complying with Section 306
Chapter 3,Building Blocks,304,Turning space,,304.3.2,T-Shaped Space,
Chapter 3,Building Blocks,304,Turning space,,304.3.2.1,New Buildings and Facilities,"In new buildings and facilities, the turning space shall be a T–shaped space complying with one of the following:

1. A T-shaped space, clear of obstruction, that fits within an area 68 inches (1725 mm) wide and 60 inches (1525 mm) deep, with two arms and one base that are all 36 inches (915 mm) minimum in width. Each arm shall extend 16 inches (405 mm) minimum from each side of the base located opposite the other, and the base shall extend 24 inches (610 mm) minimum from the arms. At the intersection of each arm and the base, the interior corners shall be chamfered for 8 inches (205 mm) minimum along both the arm and along the base.

2. A T-shaped space, clear of obstruction, that fits within an area 64 inches (1625 mm) wide and 60 inches (1525 mm) deep, with two arms 38 inches (965 mm) minimum in width and a base 42 inches (1065 mm) minimum in width. Each arm shall extend 11 inches (280 mm) minimum from each side of the base, located opposite the other, and the base shall extend 22 inches (560 mm) minimum from each arm.

3. A T-shaped space, clear of obstruction, 64 inches (1625 mm) wide and 60 inches (1525 mm) deep, with two arms and one base 40 inches (1015 mm) minimum in width. Each arm shall extend 12 inches (305 mm) minimum from each side of the base and the base shall extend 20 inches (510 mm) minimum from each arm."
Chapter 3,Building Blocks,304,Turning space,,304.3.2.1.1,Overlap,"Turning spaces shall be permitted to include knee and toe clearance complying with Section 306 of either the base or one arm. For Option 1, the base or arm is the portion beyond the chamfer"
Chapter 3,Building Blocks,304,Turning space,,304.3.2.2,Existing buildings and facilities,"In existing buildings and facilities, the turning space shall be a T-shaped space within a 60-inch (1525 mm) minimum square, with arms and base 36 inches (915 mm) minimum in width. Each arm of the T shall be clear of obstructions 12 inches (305 mm) minimum in each direction, and the base shall be clear of obstructions 24 inches (610 mm) minimum."
Chapter 3,Building Blocks,304,Turning space,,304.3.2.2.1,Overlap,Turning spaces shall be permitted to include knee and toe clearance complying with Section 306 only at the end of either the base or one arm.
Chapter 3,Building Blocks,304,Turning space,,304.4,Door Swing,"Unless otherwise specified, doors shall be permitted to swing into turning spaces."
Chapter 3,Building Blocks,305,Clear Floor Space,,305.1,General,A clear floor space shall comply with Section 305.
Chapter 3,Building Blocks,305,Clear Floor Space,,305.2,Floor Surfaces,Floor surfaces of a clear floor space shall comply withSection 302. Changes in level shall not be permitted within the clear floor space. Exception: Slopes not steeper than 1:48 shall be permitted.
Chapter 3,Building Blocks,305,Clear Floor Space,,305.3,Size,
Chapter 3,Building Blocks,305,Clear Floor Space,,305.3.1,New Buildings and Facilities,"In new buildings and facilities, the clear floor space shall be 52 inches (1320 mm) minimum in length and 30 inches (760 mm) minimum in width."
Chapter 3,Building Blocks,305,Clear Floor Space,,305.3.2,Existing buildings and facilities,"In existing buildings and facilities, the clear floor space shall be 48 inches (1220 mm) minimum in length and 30 inches (760 mm) minimum in width."
Chapter 3,Building Blocks,305,Clear Floor Space,,305.4,Knee and Toe Clearance,"Unless otherwise specified, clear floor space shall be permitted to include knee and toe clearance complying with Section 306."
Chapter 3,Building Blocks,305,Clear Floor Space,,305.5,Position,"Unless otherwise specified, clear floor spaces shall be positioned for either forward or parallel approach to an element."
Chapter 3,Building Blocks,305,Clear Floor Space,,305.6,Approach,"One full, unobstructed side of a clear floor space shall adjoin or overlap an accessible route or adjoin another clear floor space."
Chapter 3,Building Blocks,305,Clear Floor Space,,305.7,Alcoves,"If a clear floor space is in an alcove or otherwise confined on all or part of three sides, additional maneuvering clearances complying with Sections 305.7.1 and 305.7.2 shall be provided, as applicable."
Chapter 3,Building Blocks,305,Clear Floor Space,,305.7.1,Parallel Approach,"Where a clear floor space is positioned for a parallel approach, the alcove shall be 60 inches (1525 mm) minimum in width where the depth exceeds 15 inches (380 mm)."
Chapter 3,Building Blocks,305,Clear Floor Space,,305.7.2,Forward Approach,"Where a clear floor space is positioned for a forward approach, the alcove shall be 36 inches (915 mm) minimum in width where the depth exceeds 24 inches (610 mm)."
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.1,General,"Where space beneath an element is included as part of the clear floor space at an element, clearance at an element, or a turning space, the space shall comply with Section 306. Additional space shall not be prohibited beneath an element, but shall not be considered as part of the clear floor space or turning space."
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.2,Toe Clearance,
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.2.1,General,Space beneath an element between the floor and 9 inches (230 mm) above the floor shall be considered toe clearance and shall comply with Section 306.2.
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.2.2,Maximum Depth,Toe clearance shall be permitted to extend 25 inches (635 mm) maximum under an element.
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.2.3,Minimum Depth,"Where toe clearance is required at an element as part of a clear floor space complying withSection 305, the toe clearance shall extend 17 inches (430 mm) minimum beneath the element."
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.2.4,Additional Clearance,Space extending greater than 6 inches (150 mm) beyond the available knee clearance at 9 inches (230 mm) above the floor shall not be considered toe clearance
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.2.5,Width,Toe clearance shall be 30 inches (760 mm) minimum in width.
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.3,Knee Clearance,
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.3.1,General,Space beneath an element between 9 inches (230 mm) and 27 inches (685 mm) above the floor shall be considered knee clearance and shall comply with Section 306.3.
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.3.2,Maximum Depth,Knee clearance shall be permitted to extend 25 inches (635 mm) maximum under an element at 9 inches (230 mm) above the floor.
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.3.3,Minimum Depth,"Where knee clearance is required beneath an element as part of a clear floor space complying withSection 305, the knee clearance shall be 11 inches (280 mm) minimum in depth at 9 inches (230 mm) above the floor, and 8 inches (205 mm) minimum in depth at 27 inches (685 mm) above the floor."
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.3.4,Clearance Reduction,"Between 9 inches (230 mm) and 27 inches (685 mm) above the floor, the knee clearance shall be permitted to be reduced at a rate of 1 inch (25 mm) in depth for each 6 inches (150 mm) in height."
Chapter 3,Building Blocks,306,Knee and Toe Clearance,,306.3.5,Width,Knee clearance shall be 30 inches (760 mm) minimum in width.
Chapter 3,Building Blocks,307,Protruding Objects,,307.1,General,Protruding objects on circulation paths shall comply withSection 307.
Chapter 3,Building Blocks,307,Protruding Objects,,307.2,Protrusion Limits,Objects with leading edges more than 27 inches (685 mm) and not more than 80 inches (2030 mm) above the floor shall protrude 4 inches (100 mm) maximum horizontally into a circulation path. Exception: Handrails shall be permitted to protrude 4 1/2 inches (115 mm) maximum.
Chapter 3,Building Blocks,307,Protruding Objects,,307.3,Post-Mounted Objects,Objects on posts or pylons shall be permitted to overhang 4 inches (100 mm) maximum where more than 27 inches (685 mm) and not more than 80 inches (2030 mm) above the floor. Objects on multiple posts or pylons where the clear distance between the posts or pylons is greater than 12 inches (305 mm) shall have the lowest edge of such object either 27 inches (685 mm) maximum or 80 inches (2030 mm) minimum above the floor. Exception: Sloping portions of handrails between the top and bottom riser of stairs and above the ramp run shall not be required to comply with this section.
Chapter 3,Building Blocks,307,Protruding Objects,,307.4,Vertical Clearance,Vertical clearance shall be 80 inches (2030 mm) minimum. Rails or other barriers shall be provided where the vertical clearance is less than 80 inches (2030 mm). The leading edge of such rails or barrier shall be located 27 inches (685 mm) maximum above the floor. Exception: Door closers and door stops shall be permitted to be 78 inches (1980 mm) minimum above the floor.
Chapter 3,Building Blocks,307,Protruding Objects,,307.5,Required Clear Width,Protruding objects shall not reduce the clear width required for accessible routes
Chapter 3,Building Blocks,308,Reach Ranges,,308.1,General,Reach ranges shall comply with Section 308
Chapter 3,Building Blocks,308,Reach Ranges,,308.2,Forward Reach,
Chapter 3,Building Blocks,308,Reach Ranges,,308.2.1,Unobstructed,"Where a forward reach is unobstructed, the high forward reach shall be 48 inches (1220 mm) maximum and the low forward reach shall be 15 inches (380 mm) minimum above the floor."
Chapter 3,Building Blocks,308,Reach Ranges,,308.2.2,Obstructed High Reach,"Where a high forward reach is over an obstruction, the clear floor space complying withSection 305 and knee and toe clearance complying with Section 306 shall extend beneath the element for a distance not less than the required reach depth over the obstruction. The high forward reach shall be 48 inches (1220 mm) maximum above the floor where the reach depth over the obstruction is 20 inches (510mm) maximum. Where the reach depth exceeds 20 inches (510 mm), the high forward reach shall be 44 inches (1120 mm) maximum above the floor where the reach depth over the obstruction is greater than 20 inches (510 mm) and not more than 25 inches (635 mm) maximum."
Chapter 3,Building Blocks,308,Reach Ranges,,308.3,Side Reach,
Chapter 3,Building Blocks,308,Reach Ranges,,308.3.1,unobstructed,"Where a clear floor space complying with Section 305 allows a parallel approach to an element and the edge of the clear floor space is 10 inches (255 mm) maximum from the element, the high side reach shall be 48 inches (1220 mm) maximum and the low side reach shall be 15 inches (380 mm) minimum above the floor. Exceptions:
1. Existing elements that are not altered shall be permitted at 54 inches (1370 mm) maximum above the floor.
2. Operable parts on fuel dispensers installed on existing curbs shall be permitted at 54 inches (1370 mm) maximum above the floor."
Chapter 3,Building Blocks,308,Reach Ranges,,308.3.2,Obstructed High Reach,"Where a clear floor space complying with Section 305 allows a parallel approach to an element and the high side reach is over an obstruction, the height of the obstruction shall be 34 inches (865 mm) maximum above the floor and the depth of the obstruction shall be 24 inches (610 mm) maximum. The high side reach shall be 48 inches (1220 mm) maximum above the floor for a reach depth of 10 inches (255 mm) maximum. Where the reach depth exceeds 10 inches (255 mm), the high side reach shall be 46 inches (1170 mm) maximum above the floor for a reach depth of 24 inches (610 mm)
maximum. Exception: At washing machines and clothes dryers, the height of the obstruction shall be permitted to be 36 inches
(915 mm) maximum above the floor."
Chapter 3,Building Blocks,309,Operable Parts,,309.1,General,"Operable parts required to be accessible shall comply with Section 309. Exceptions:
1. Receptacle outlets serving a dedicated use.
2 . Where two or more receptacle outlets are provided in a kitchen above a length of countertop that is uninterrupted by a sink or appliance, one receptacle outlet shall not be required to comply with this section.
3. In a kitchen, where a clear floor space for a parallel approach cannot be located at a countertop in a corner between appliances, receptacle outlets over the countertop shall not be required to comply with this section provided that the countertop area does not exceed 9 square feet (0.835 m ) maximum.
4. Floor receptacle outlets.
5. HVAC diffusers.
6. Controls mounted on ceiling fans.
7. Where redundant controls other than light switches are provided for a single element, one control in each space shall not be required to comply with this section.
8. Reset buttons and shut-offs serving appliances, piping and plumbing fixtures.
9. Electrical panelboards shall not be required to comply withSection 309.4.
10. Emergency aid devices, such as fire department hose connections, valve controls, gauges, police call boxes and annunciator panels shall not be required to comply with this section provided that they are used only for
emergencies by emergency personnel acting in their official capacity."
Chapter 3,Building Blocks,309,Operable Parts,,309.2,Clear Floor Space,A clear floor space complying with Section 305 shall be provided
Chapter 3,Building Blocks,309,Operable Parts,,309.3,Height,Operable parts shall be placed within one or more of the reach ranges specified in Section 308.
Chapter 3,Building Blocks,309,Operable Parts,,309.4,Operation,"Operable parts shall be operable with one hand and shall not require tight grasping, pinching, or twisting of the wrist. The force required to activate operable parts shall be 5.0 pounds (22.2 N) maximum. Exception: Gas pump nozzles shall not be required to provide operable parts that have an activating force of 5.0 pounds (22.2 N) maximum."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.1,Scope,"The provisions of Sections 306.1 through 306.7.16 apply to maintenance andrepair, change of occupancy, additions and
alterations to existing buildings, including those identified as historic buildings."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.2,Design,"Buildings and facilities shall be designed and constructed to be accessible in accordance with this code and thealteration
and existing building provisions in ICC A117.1, as applicable."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.3,Maintenance and Repair,"A facility that is constructed or altered to be accessible shall be maintained accessible during occupancy. Required accessible means of egress shall be maintained during construction, demolition, remodeling or alterations and additions to any occupied building. Exception: Existing means of egress need not be maintained whereapproved temporary means of egress and accessible means of egress systems and facilities are provided."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.3.1,Prohibited Reduction in Accessibility,"An alteration that decreases or has the effect of decreasing accessibility of a building,facility or element, thereof, below the requirements for new construction at the time of the alteration is prohibited. The number of accessible elements need not exceed that required for new construction at the time of alteration."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.4,Extent of Application,An alteration of an existingfacility shall not impose a requirement for greater accessibility than that which would be required for new construction.
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.5,Change of Occupancy,Existing buildings that undergo a change of group or occupancy shall comply withSection 306.7. Exception: Type B dwelling or sleeping units required by Section 1108 of the International Building Code are not required to be provided in existing buildings and facilities undergoing a change of occupancy in conjunction with alterations where the work area is 50 percent or less of the aggregate area of the building.
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.6,Additions,"Provisions for new construction shall apply toadditions. An addition that affects the accessibility to, or contains an area of, a primary function shall comply with the requirements inSection 306.7.1."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7,Alterations,"A facility that is altered shall comply with the applicable provisions inChapter 11 of the International Building Code, ICC A117.1 and the provisions of Sections 306.7.1 through 306.7.16, unless technically infeasible. Where compliance with this section is technically infeasible, the alteration shall provide access to the maximum extent technically feasible."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.1,Alterations affecting an area containing a primary function,"Where an alteration affects the accessibility to, or contains an area ofprimary function, the route to theprimary function area shall be accessible. The accessible route to the primary function area shall include toilet facilities and drinking fountains serving the area of primary function. Exceptions:
1 . The costs of providing the accessible route are not required to exceed 20 percent of the costs of the alterations affecting the area of primary function.
2. This provision does not apply toalterations limited solely to windows, hardware, operating controls, electrical outlets and signs.
3 . This provision does not apply toalterations limited solely to mechanical systems, electrical systems, installation or alteration of fire protection systems and abatement of hazardous materials.
4. This provision does not apply toalterations undertaken for the primary purpose of increasing the accessibility of a facility.
5. This provision does not apply to altered areas limited to Type B dwelling and sleeping units"
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.2,Accessible means of egress,Accessible means of egress required byChapter 10 of the International Building Code are not required to be added in existing facilities
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.3,Alteration of Type A units,The alteration to Type A individually owned dwelling units within a Group R-2 occupancy shall be permitted to meet the provision for a Type B dwelling unit.
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.4,Type B Units,Type B dwelling or sleeping units required bySection 1108 of the International Building Code are not required to be provided in existing buildings and facilities undergoing alterations where the work area is 50 percent or less of the aggregate area of the building.
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.5,Entrances,"Where an alteration includes alterations to an entrance that is not accessible, and thefacility has an accessible entrance, the altered entrance is not required to be accessible unless required by Section 306.7.1. Signs complying with Section 1112 of the International Building Code shall be provided."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.6,Accessible route,"Exterior accessible routes, including curb ramps, shall be not less than 36 inches (914 mm) minimum in width."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.7,Elevators,Altered elements of existing elevators shall comply with ASME A17.1. Such elements shall also be altered in elevators programmed to respond to the same hall call control as the altered elevator.
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.8,Platform lifts,Platform (wheelchair) lifts installed in accordance with ASME A18.1 shall be permitted as a component of an accessible route.
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.9,Stairways and escalators in existing buildings,"Where an escalator or stairway is added where none existed previously and major structural modifications are necessary for installation, an accessible route complying with Section 1104.4 of the International Building Code is required between levels served by such escalator or stairway."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.10,Determination of number of units,"Where Chapter 11 of the International Building Code requires Accessible, Type A or Type B units and where such units are being altered or added, the number of Accessible, Type A and Type B units shall be determined in accordance with Sections 306.7.10.1 through 306.7.10.3."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.10.1,Accesible dwelling or sleeping units,"Where Group I-1, I-2, I-3, R-1, R-2 or R-4 dwelling or sleeping units are being altered or added, the requirements of Section 1108 of the International Building Code for Accessible units apply only to the quantity of spaces being altered or added."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.10.2,Type A dwelling or sleeping units,"Where more than 20 Group R-2 dwelling or sleeping units are being altered or added, the requirements of Section 1108 of the International Building Code for Type A units apply only to the quantity of the spaces being altered or added."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.10.3,Type B dwelling or sleeping units,"Where four or more Group I-1, I-2, R-1, R-2, R-3 or R-4 dwelling or sleeping units are being added, the requirements of Section 1108 of the International Building Code for Type B units apply only to the quantity of the spaces being added. Where Group I-1, I-2, R-1, R-2, R-3 or R-4 dwelling or sleeping units are being altered and where the work area is greater than 50 percent of the aggregate area of the building, the requirements of Section 1108 of the International Building Code for Type B units apply only to the quantity of the spaces being altered."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.11,Toilet rooms,"Where it is technically infeasible to alter existing toilet rooms to be accessible, one accessible single-user toilet room or one accessible family or assisted-use toilet room constructed in accordance with Section 1110.2.1 of the International Building Code is permitted. This toilet room shall be located on the same floor and in the same area as the existing toilet rooms. At the inaccessible toilet rooms, directional signs indicating the location of the nearest such toilet room shall be provided. These directional signs shall include the International Symbol of Accessibility, and sign characters shall meet the visual character requirements in accordance with ICC A117.1."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.12,Bathing rooms,"Where it is technically infeasible to alter existing bathing rooms to be accessible, one accessible single-user bathing room or one accessible family or assisted-use bathing room constructed in accordance with Section 1110.2.1 of the International Building Code is permitted. This accessible bathing room shall be located on the same floor and in the same area as the existing bathing rooms. At the inaccessible bathing rooms, directional signs indicating the location of the nearest such bathing room shall be provided. These directional signs shall include the International Symbol of Accessibility, and sign characters shall meet the visual character requirements in accordance with ICC A117.1."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.13,Additional toilet and bathing facilities,"In assembly and mercantile occupancies, where additional toilet fixtures are added, not fewer than one accessible family or assisted-use toilet room shall be provided where required by Section 1110.2.1 of the International Building Code. In recreational facilities, where additional bathing rooms are being added, not fewer than one family or assisted-use bathing room shall be provided where required by Section 1110.2.1 of the International Building Code."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.14,"Dressing, fitting and locker rooms","Where it is technically infeasible to provide accessible dressing, fitting or locker rooms at the same location as similar types of rooms, one accessible room on the same level shall be provided. Where separate-sex facilities are provided, accessible rooms for each sex shall be provided. Separate-sex facilities are not required where only unisex rooms are provided."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.15,Amusement rides,"Where the structural or operational characteristics of an amusement ride are altered to the extent that the amusement ride’s performance differs from that specified by the manufacturer or the original design, the amusement ride shall comply with requirements for new construction in Section 1111.4.8 of the International Building Code."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.16,Historic structures,"Where compliance with the requirements for accessible routes, entrances or toilet rooms would threaten or destroy the historic significance of the historic structure, as determined by the authority having jurisdiction, the alternative requirements of Sections 306.7.16.1 through 306.7.16.5 for that element shall be permitted. Exceptions:
1. Accessible means of egress required byChapter 10 of the International Building Code are not required to be provided in historic structures.
2 . The altered element or space is not required to be on an accessible route, unless required by Sections 306.7.16.1 or 306.7.16.2."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.16.1,Site arrival points,"Not fewer than one exterior accessible route, including curb ramps from a site arrival point to an accessible entrance, shall be provided and shall not be less than 36 inches (914 mm) minimum in width."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.16.2,Multiple-level buildings and facilities,An accessible route from an accessible entrance to public spaces on the level of the accessible entrance shall be provided.
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.16.3,Entrances,"Where an entrance cannot be made accessible in accordance withSection 306.7.5, an accessible entrance that is unlocked while the building is occupied shall be provided; or, a locked accessible entrance with a notification system or remote monitoring shall be provided. Signs complying with Section 1112 of the International Building Code shall be provided at the public entrances and the accessible entrance."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.16.4,Toilet facilities,"Where toilet rooms are provided, not fewer than one accessible single-user toilet room or one accessible family or assisted-use toilet room complying with Section 1110.2.1 of the International Building Code shall be provided."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.16.5,Bathing facilities,"Where bathing rooms are provided, not fewer than one accessible single-user bathing room or one accessible family or assisted-use bathing rooms complying with Section 1110.2.1 of the International Building Code shall be provided."
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.16.6,Type A units,The alteration to Type A individually owned dwelling units within a Group R-2 occupancy shall be permitted to meet the provision for a Type B dwelling unit.
Chapter 3,Provisions for All Compliance Methods,306,Accessibilty for Existing Buildings,,306.7.16.7,Type B units,Type B dwelling or sleeping units required bySection 1108 of the International Building Code are not required to be provided in historic buildings.
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,,,
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2,Alarm notification appliances,Alarm notification appliances shall be provided and shall be listed for their purpose.
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2.1.1,Average sound pressure,"The audible alarm notification appliances shall provide a sound pressure level of 15 decibels (dBA) above the average ambient sound level or 5 dBA above the maximum sound level having a duration of not less than 60 seconds, whichever is greater, in every occupiable space within the building"
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2.1.2,Maximum sound pressure,"The total sound pressure level produced by combining the ambient sound pressure level with all audible notification appliances operating shall not exceed 110 dBA at the minimum hearing distance from the audible appliance. Where the average ambient noise is greater than 105 dBA, visible alarm notification appliances shall be provided in accordance with NFPA 72 and audible alarm notification appliances shall not be required."
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2.1.3.1,Fire alarm system signal,"In sleeping rooms of Group R-1 and R-2 occupancies, the audible alarm activated by a fire alarm system shall be a 520-Hz low-frequency signal complying with NFPA 72."
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2.1.3.2,Smoke alarm signal in sleeping rooms,"In sleeping rooms of Group R-1 and R-2 occupancies that are required by Section 907.2.8 or 907.2.9 to have a fire alarm system, the audible alarm signal activated by single- or multiple-station smoke alarms in thedwelling unit or sleeping unit shall be a 520-Hz signal complying withNFPA 72. Where a sleeping room smoke alarm is unable to produce a 520-Hz signal, the 520-Hz alarm signal shall be provided by alisted notification appliance or a smoke detector with an integral 520-Hz sounder."
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2.1.3,Audible signal frequency in Group R-1 and Group R-2 sleeping rooms,Audible signal frequency in Group R-1 and R-2 occupancies shall be in accordance with Sections 907.5.2.1.3.1 and 907.5.2.1.3.2
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2.1,Audible Alarms,"Audible alarm notification appliances shall be provided and emit a distinctive sound that is not to be used for any purpose other than that of a fire alarm. Exceptions:
1. Audible alarm notification appliances are not required in critical care areas of Group I-2, Condition 2 occupancies that are in compliance with Section 907.2.6, Exception 2.
2. A visible alarm notification appliance installed in a nurses’ control station or other continuously attended staff location in a Group I-2, Condition 2 suite shall be an acceptable alternative to the installation of audible alarm notification appliances throughout a suite or unit in Group I-2, Condition 2 occupancies that are in compliance with Section 907.2.6, Exception 2.
3. Where provided, audible notification appliances located in each enclosed occupant evacuation elevator lobby in accordance with Section 3008.9.1 shall be connected to a separate notification zone for manual paging only."
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2.2.5,Standby power,Emergency voice/alarm communications systems shall be provided with standby power in accordance with Section 2702.
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2.2.1,Manual Override,A manual override for emergency voice communication shall be provided on a selective and all-call basis for all paging zones.
Chapter 9,Fire Protection and Life Safety Systems,907,Fire Alarm and Detection Systems,,907.5.2.2.2,Live voice messages,The emergency voice/alarm communication system shall have the capability to broadcast live voice messages by paging zones on a selective and all-call basis.
